test_case_id,risk_category,input_description,expected_challenge,learning_objective,input_data,actual_output,quality_rating,notes,patterns_observed,improvement_ideas,completed_date
TC1_india_half_hour,timezone_conversion,Meeting between NYC (EST) and Mumbai (IST +5:30) - 60 min,System rounds +5:30 to +5:00 suggesting time 30 min off,Verify non-standard half-hour offset handling,"stakeholder1_city=New York|stakeholder1_tz=America/New_York|stakeholder2_city=Mumbai|stakeholder2_tz=Asia/Kolkata|duration_min=60|proposed_time_utc=2026-02-15T15:00:00Z|expected_nyc=10:00am EST|expected_mumbai=8:30pm IST","UTC: 2026-02-15 15:00:00Z | New York: 10:00 AM EST (UTC-5) | Mumbai: 8:30 PM IST (UTC+5:30)",PASS,Correctly handles +5:30 offset. No rounding errors detected.,Half-hour offset preserved accurately across conversion. IANA timezone names work correctly.,Consider adding offset validation display to show users the exact UTC offset being applied.,2026-02-14
TC2_nepal_45min,timezone_conversion,Meeting between London (GMT) and Kathmandu (NPT +5:45) - 30 min,System rounds +5:45 to +6:00 producing 15-min error,Verify 45-minute offset handling,"stakeholder1_city=London|stakeholder1_tz=Europe/London|stakeholder2_city=Kathmandu|stakeholder2_tz=Asia/Kathmandu|duration_min=30|proposed_time_utc=2026-02-15T12:00:00Z|expected_london=12:00pm GMT|expected_kathmandu=5:45pm NPT","UTC: 2026-02-15 12:00:00Z | London: 12:00 PM GMT (UTC+0) | Kathmandu: 5:45 PM NPT (UTC+5:45)",PASS,Correctly handles +5:45 offset. The 45-minute offset is preserved.,Non-standard 45-minute offset handled correctly without rounding. Rare offset type working as expected.,Add visual indicator in UI when unusual offsets (15-min or 45-min increments) are detected.,2026-02-14
TC3_offset_direction,timezone_conversion,Meeting between NYC (EST -5) and Dubai (GST +4) - 60 min,System subtracts offset instead of adding producing wrong direction,Verify offset sign/direction handling,"stakeholder1_city=New York|stakeholder1_tz=America/New_York|stakeholder2_city=Dubai|stakeholder2_tz=Asia/Dubai|duration_min=60|proposed_time_utc=2026-02-15T14:00:00Z|expected_nyc=9:00am EST|expected_dubai=6:00pm GST","UTC: 2026-02-15 14:00:00Z | New York: 9:00 AM EST (UTC-5) | Dubai: 6:00 PM GST (UTC+4)",PASS,Correct directional application of negative and positive offsets.,Sign handling works correctly across east/west divide. 9-hour total gap calculated accurately.,None - directional offset handling is working correctly.,2026-02-14
TC4_dst_transition,timezone_conversion,Meeting between NYC and London during US DST transition (Nov first Sunday),DST change shifts offset from 4 to 5 hours; system uses stale offset,Verify daylight saving time awareness,"stakeholder1_city=New York|stakeholder1_tz=America/New_York|stakeholder2_city=London|stakeholder2_tz=Europe/London|duration_min=60|proposed_date_summer=2026-07-15|proposed_date_winter=2026-11-15|expected_gap_summer=5h(EDT-BST)|expected_gap_winter=5h(EST-GMT)","Summer (2026-07-15): NYC is EDT (UTC-4) | London is BST (UTC+1) → 5-hour gap | Winter (2026-11-15): NYC is EST (UTC-5) | London is GMT (UTC+0) → 5-hour gap",PASS,DST transitions handled correctly. Both summer and winter gaps are accurate.,System correctly adjusts for DST changes. November 2026 DST ends Nov 1 in US. Maintains accurate offsets across transitions.,"Add DST transition warnings when scheduling near transition dates (1 week before/after). Show both pre/post transition times.",2026-02-14
TC5_two_nonstandard,timezone_conversion,Meeting between Mumbai (IST +5:30) and Tehran (IRST +3:30) - 60 min,Both offsets rounded independently compounding to incorrect gap,Verify multiple non-standard offset interaction,"stakeholder1_city=Mumbai|stakeholder1_tz=Asia/Kolkata|stakeholder2_city=Tehran|stakeholder2_tz=Asia/Tehran|duration_min=60|proposed_time_utc=2026-02-15T10:00:00Z|expected_mumbai=3:30pm IST|expected_tehran=1:30pm IRST|expected_gap=2h","UTC: 2026-02-15 10:00:00Z | Mumbai: 3:30 PM IST (UTC+5:30) | Tehran: 1:30 PM IRST (UTC+3:30) | Gap: 2 hours",PASS,Both +5:30 and +3:30 offsets handled correctly. Gap calculation accurate.,Multiple non-standard offsets don't compound errors. Each timezone calculated independently from UTC prevents cascading issues.,None - multiple non-standard offset handling is working correctly.,2026-02-14
TC6_ist_ambiguity,timezone_conversion,Meeting between Dublin (Irish IST) and Mumbai (India IST),System confuses two IST abbreviations applying wrong offset,Verify IANA name usage over ambiguous abbreviations,"stakeholder1_city=Dublin|stakeholder1_tz=Europe/Dublin|stakeholder2_city=Mumbai|stakeholder2_tz=Asia/Kolkata|duration_min=60|proposed_time_utc=2026-07-15T12:00:00Z|expected_dublin=1:00pm IST(Irish Summer)|expected_mumbai=5:30pm IST(India)","UTC: 2026-07-15 12:00:00Z | Dublin: 1:00 PM IST (Irish Summer Time UTC+1) | Mumbai: 5:30 PM IST (India Standard Time UTC+5:30)",PASS,IANA timezone names correctly disambiguate IST abbreviations.,Using IANA names (Europe/Dublin vs Asia/Kolkata) prevents abbreviation confusion. System never relies on ambiguous abbreviation matching.,"Add user education about timezone abbreviation ambiguity (CST, IST, etc.). Display IANA name in UI alongside abbreviation.",2026-02-14
TC7_newfoundland_dst,timezone_conversion,Meeting between Toronto (EST) and St. John's (NST -3:30 / NDT -2:30),Half-hour offset combined with DST creates complex conversion,Verify non-standard offset + DST combination,"stakeholder1_city=Toronto|stakeholder1_tz=America/Toronto|stakeholder2_city=St Johns|stakeholder2_tz=America/St_Johns|duration_min=60|proposed_date_winter=2026-01-15|proposed_date_summer=2026-07-15|expected_gap_winter=1.5h|expected_gap_summer=1.5h","Winter (2026-01-15): Toronto EST (UTC-5) | St. John's NST (UTC-3:30) → 1.5h gap | Summer (2026-07-15): Toronto EDT (UTC-4) | St. John's NDT (UTC-2:30) → 1.5h gap",PASS,Half-hour offset maintained correctly through DST transitions.,Non-standard offset + DST combination handled properly. Gap remains constant (1.5h) because both zones shift by 1 hour for DST.,None - complex offset + DST handling working correctly.,2026-02-14
TC8_4party_global,timezone_conversion,Meeting between NYC + London + Mumbai + Tokyo - 60 min,System handles standard zones but breaks on Mumbai +5:30 or fails reasonable-hours overlap,Verify multi-party non-standard offset in complex scenario,"stakeholder1_city=New York|stakeholder1_tz=America/New_York|stakeholder2_city=London|stakeholder2_tz=Europe/London|stakeholder3_city=Mumbai|stakeholder3_tz=Asia/Kolkata|stakeholder4_city=Tokyo|stakeholder4_tz=Asia/Tokyo|duration_min=60|proposed_time_utc=2026-02-15T09:00:00Z|expected_nyc=4:00am EST|expected_london=9:00am GMT|expected_mumbai=2:30pm IST|expected_tokyo=6:00pm JST","UTC: 2026-02-15 09:00:00Z | New York: 4:00 AM EST (UNREASONABLE) | London: 9:00 AM GMT | Mumbai: 2:30 PM IST | Tokyo: 6:00 PM JST",PASS (technical) / FAIL (practical),Times are technically correct but NYC at 4 AM is impractical. System needs reasonable hours constraint.,"Multi-party scheduling with non-standard offsets works technically, but lacks business hours validation. System doesn't flag impractical meeting times.","CRITICAL: Add reasonable hours constraints (7 AM - 9 PM). Implement overlap detection algorithm. Add warnings for edge times. Create ""no reasonable overlap"" message with alternative suggestions.",2026-02-14
TC9_date_line_crossing,timezone_conversion,Meeting between Samoa (UTC-11) and Kiribati (UTC+14) - 60 min,25-hour offset causes date confusion (different calendar days),Verify international date line handling and same-day assumptions,"stakeholder1_city=Apia|stakeholder1_tz=Pacific/Apia|stakeholder2_city=Kiritimati|stakeholder2_tz=Pacific/Kiritimati|duration_min=60|proposed_time_utc=2026-02-15T12:00:00Z|expected_apia=2026-02-15 01:00am|expected_kiritimati=2026-02-16 02:00am",NOT TESTED - PROPOSED,,Extreme offset creates calendar date discrepancy. Meeting could span two different dates for participants.,Maximum timezone offset scenario (25 hours). Critical test for date display logic and calendar integration.,"Implement date display for each participant. Add visual indicator when meeting spans multiple calendar dates. Test calendar invite generation.",
TC10_australia_dst_reverse,timezone_conversion,Meeting between NYC and Sydney during Southern Hemisphere DST,DST transitions happen in opposite seasons; system may apply Northern Hemisphere logic only,Verify reverse-season DST handling,"stakeholder1_city=New York|stakeholder1_tz=America/New_York|stakeholder2_city=Sydney|stakeholder2_tz=Australia/Sydney|duration_min=60|proposed_date_northern_summer=2026-07-15|proposed_date_southern_summer=2026-01-15|expected_gap_jul=14h|expected_gap_jan=16h",NOT TESTED - PROPOSED,,Southern Hemisphere DST is opposite to Northern. Gap changes based on which hemisphere is in summer.,Tests assumption that DST only happens in specific months. Critical for global scheduling tools.,"Verify IANA database handles Southern Hemisphere DST. Add hemisphere awareness to DST warnings. Test all Southern Hemisphere major cities.",
TC11_arizona_no_dst,timezone_conversion,Meeting between Phoenix (no DST) and Los Angeles (DST observing) - 60 min,System assumes all US locations follow DST; offset changes between summer/winter,Verify region-specific DST exceptions,"stakeholder1_city=Phoenix|stakeholder1_tz=America/Phoenix|stakeholder2_city=Los Angeles|stakeholder2_tz=America/Los_Angeles|duration_min=60|proposed_date_winter=2026-01-15|proposed_date_summer=2026-07-15|expected_gap_winter=1h|expected_gap_summer=0h",NOT TESTED - PROPOSED,,"Arizona doesn't observe DST (except Navajo Nation). Offset between Phoenix and LA changes seasonally, which breaks ""same country = same time zone"" assumptions.",Tests regional DST exceptions within countries. Important for US users (Arizona and Hawaii).,"Add DST exception handling validation. Test other DST exceptions (Hawaii, Saskatchewan). Add UI indicator when zones have different DST rules.",
TC12_chatham_islands,timezone_conversion,Meeting between Wellington (NZST +12) and Chatham Islands (CHAST +12:45) - 30 min,Both New Zealand zones but 45-min difference creates unexpected gap,Verify same-country non-standard offset differences,"stakeholder1_city=Wellington|stakeholder1_tz=Pacific/Auckland|stakeholder2_city=Chatham Islands|stakeholder2_tz=Pacific/Chatham|duration_min=30|proposed_time_utc=2026-02-15T10:00:00Z|expected_wellington=10:00pm NZST|expected_chatham=10:45pm CHAST|expected_gap=45min",NOT TESTED - PROPOSED,,Same country with different non-standard offsets. Users may assume same timezone for same country.,Tests assumption that same country = same timezone. Chatham Islands is rare 45-min offset case within one country.,"Add ""same country, different timezone"" warning. Test other same-country multi-timezone scenarios (Russia, Canada, USA).",
TC13_venezuela_half_hour,timezone_conversion,Meeting between Caracas (VET -4:30) and New York (EST -5) - 60 min,Western Hemisphere half-hour offset (rare); negative offset rounding errors,Verify non-standard offsets work in Western Hemisphere,"stakeholder1_city=Caracas|stakeholder1_tz=America/Caracas|stakeholder2_city=New York|stakeholder2_tz=America/New_York|duration_min=60|proposed_time_utc=2026-02-15T14:00:00Z|expected_caracas=9:30am VET|expected_nyc=9:00am EST|expected_gap=30min",NOT TESTED - PROPOSED,,Western Hemisphere non-standard offset. Tests if offset logic only works for positive (Eastern) offsets.,Most non-standard offsets are in Eastern Hemisphere. This tests Western Hemisphere edge case.,"Verify negative non-standard offsets work. Test other Western Hemisphere half-hour zones (Newfoundland already covered in TC7).",
TC14_lord_howe_30min_dst,timezone_conversion,Meeting involving Lord Howe Island (30-minute DST shift instead of 1 hour) - 60 min,DST shifts by 30 minutes instead of 1 hour; system assumes 1-hour DST shifts universally,Verify non-standard DST increment handling,"stakeholder1_city=Sydney|stakeholder1_tz=Australia/Sydney|stakeholder2_city=Lord Howe Island|stakeholder2_tz=Australia/Lord_Howe|duration_min=60|proposed_date_winter=2026-06-15|proposed_date_summer=2026-12-15|expected_gap_winter=30min|expected_gap_summer=0min",NOT TESTED - PROPOSED,,Lord Howe Island is the only place globally with 30-minute DST shift. System may hardcode 1-hour DST assumption.,Extreme edge case but important for DST logic validation. Tests hardcoded DST increment assumptions.,Verify IANA database handles 30-minute DST shifts. Ensure DST logic doesn't hardcode 1-hour increments. May be acceptable to document as known limitation if unsupported.,
TC15_past_meeting_historic_tz,timezone_conversion,Historical meeting simulation (2010) with Russia timezone count difference,System uses current timezone rules for historical dates,Verify historical timezone data accuracy,"stakeholder1_city=Moscow|stakeholder1_tz=Europe/Moscow|stakeholder2_city=New York|stakeholder2_tz=America/New_York|duration_min=60|proposed_date=2010-07-15|note=Russia had 11 timezones in 2010 vs 9 currently",NOT TESTED - PROPOSED,,Timezone rules change over time. Historical dates need historical rules not current rules.,Tests if system uses historical timezone data from IANA database. Important for calendar apps that show historical meetings.,Determine if historical timezone support is required for MVP. If yes verify IANA database historical data is being used. If no document as limitation and implement for v2.,
TC16_null_tz_input,error_handling,User doesn't specify timezone for one stakeholder,System crashes or makes dangerous assumptions (assumes UTC or user's local time),Verify error handling and required field validation,"stakeholder1_city=New York|stakeholder1_tz=America/New_York|stakeholder2_city=London|stakeholder2_tz=NULL|duration_min=60",NOT TESTED - PROPOSED,,Missing required data causes undefined behavior. System should gracefully handle and prompt for required input.,Tests error handling and data validation. Critical for production app that must handle incomplete user input.,"Implement required field validation. Add clear error messages. Never assume default timezone. Prevent submission until all required fields complete.",
